Frequency,Radial velocity,Data
1417905752.0,-541.4432721208616,-51.42750439401471
1417910639.5855327,-540.4116927440112,-51.130850038593756
1417915527.1710656,-539.3801133671104,-53.27968159181925
1417920414.7565982,-538.34853399026,-51.84454292081385
1417925302.342131,-537.3169546134095,-52.33737504920227
1417930189.9276638,-536.2853752365088,-53.43198302588427
1417935077.5131965,-535.2537958596583,-52.360205114810974
1417939965.0987291,-534.2222164828079,-52.43567436215987
1417944852.684262,-533.1906371059071,-51.6423772337107
1417949740.2697947,-532.1590577290566,-55.66812337296193
1417954627.8553274,-531.1274783522061,-51.15355737879078
1417959515.4408603,-530.0958989753054,-53.65895150986251
1417964403.026393,-529.064319598455,-51.78646286379834
1417969290.6119256,-528.0327402216045,-54.93466319445881
1417974178.1974585,-527.0011608447037,-55.89371346750505
1417979065.7829912,-525.9695814678533,-52.037257255122704
1417983953.3685238,-524.9380020910029,-52.51283782097934
1417988840.9540567,-523.9064227141021,-50.603703127572864
1417993728.5395894,-522.8748433372517,-54.58776805900719
1417998616.1251223,-521.8432639603509,-52.46711916738873
1418003503.710655,-520.8116845835004,-53.15530428677879
1418008391.2961876,-519.78010520665,-52.59164061520504
1418013278.8817205,-518.7485258297493,-54.16053972441467
1418018166.4672532,-517.7169464528987,-54.13504030536667
1418023054.0527859,-516.6853670760482,-52.980404783442616
1418027941.6383188,-515.6537876991475,-54.81522557238247
1418032829.2238514,-514.6222083222971,-54.21131812546441
1418037716.809384,-513.5906289454466,-53.09771313256465
1418042604.394917,-512.5590495685459,-53.87853019117695
1418047491.9804497,-511.52747019169544,-54.21937597973155
1418052379.5659823,-510.495890814845,-50.54269112873122
1418057267.1515152,-509.46431143794416,-51.941093241324445
1418062154.737048,-508.43273206109376,-54.16710245010747
1418067042.3225806,-507.4011526842433,-53.87834413556664
1418071929.9081135,-506.36957330734253,-56.38618952601452
1418076817.4936461,-505.33799393049213,-54.686208903330055
1418081705.0791788,-504.3064145536416,-52.92865518733059
1418086592.6647117,-503.27483517674085,-53.55589363748123
1418091480.2502444,-502.24325579989045,-54.5867990558981
1418096367.835777,-501.21167642304,-55.155244907455256
1418101255.42131,-500.18009704613917,-54.72035229410589
1418106143.0068426,-499.1485176692887,-53.27518961972541
1418111030.5923753,-498.1169382924383,-52.29249999417689
1418115918.1779082,-497.08535891553754,-51.07660148297305
1418120805.7634408,-496.053779538687,-52.875374943476004
1418125693.3489735,-495.0222001618366,-52.75577028801233
1418130580.9345064,-493.99062078493586,-51.72976142183611
1418135468.520039,-492.9590414080854,-53.91826390491786
1418140356.1055717,-491.927462031235,-50.752978021521535
1418145243.6911047,-490.8958826543342,-53.679542287650264
1418150131.2766373,-489.8643032774837,-52.019170862307604
1418155018.86217,-488.83272390063325,-55.08647930298813
1418159906.447703,-487.80114452373255,-53.73071895205196
1418164794.0332355,-486.76956514688203,-52.40708173912961
1418169681.6187682,-485.73798577003157,-51.79023734028952
1418174569.204301,-484.70640639313086,-53.85375531951193
1418179456.7898338,-483.6748270162804,-51.635062405581415
1418184344.3753667,-482.6432476393796,-52.927059997415355
1418189231.9608994,-481.6116682625291,-57.824824268580706
1418194119.546432,-480.5800888856787,-53.52068172327853
1418199007.131965,-479.54850950877795,-51.91764590167638
1418203894.7174976,-478.5169301319275,-52.60815760062233
1418208782.3030303,-477.48535075507704,-50.52506877459636
1418213669.8885632,-476.45377137817627,-53.85668153246038
1418218557.4740958,-475.4221920013258,-52.44888923718696
1418223445.0596285,-474.3906126244754,-50.925994516313494
1418228332.6451614,-473.3590332475746,-52.83551793452291
1418233220.230694,-472.3274538707241,-52.41910572849442
1418238107.8162267,-471.2958744938737,-52.5850066788644
1418242995.4017596,-470.26429511697296,-51.320224175971575
1418247882.9872923,-469.23271574012244,-53.026102303813516
1418252770.572825,-468.201136363272,-51.53644951704383
1418257658.1583579,-467.1695569863713,-55.96526061206771
1418262545.7438905,-466.1379776095208,-53.279526617775794
1418267433.3294232,-465.10639823267036,-53.61995024481351
1418272320.914956,-464.0748188557696,-54.51375469949127
1418277208.5004888,-463.04323947891913,-52.2431988692729
1418282096.0860214,-462.0116601020687,-53.334165005047396
1418286983.6715543,-460.9800807251679,-55.14425769910615
1418291871.257087,-459.94850134831745,-52.08280181773511
1418296758.8426197,-458.916921971467,-53.50930432876293
1418301646.4281526,-457.8853425945662,-53.05597474766347
1418306534.0136852,-456.8537632177158,-54.82450715660044
1418311421.599218,-455.82218384086536,-53.119510493126604
1418316309.1847508,-454.79060446396454,-54.719399883442875
1418321196.7702835,-453.75902508711414,-53.63707041362652
1418326084.3558161,-452.7274457102637,-50.34903864081223
1418330971.941349,-451.6958663333629,-53.27562481348217
1418335859.5268817,-450.6642869565124,-54.085295676488904
1418340747.1124144,-449.632707579662,-53.18387150146124
1418345634.6979473,-448.60112820276123,-53.875100563368356
1418350522.28348,-447.5695488259108,-55.13907759325241
1418355409.8690126,-446.53796944906037,-54.89199137906576
1418360297.4545455,-445.50639007215955,-52.723556780294025
1418365185.0400782,-444.4748106953091,-54.63722573723827
1418370072.625611,-443.4432313184083,-55.447559795114586
1418374960.2111437,-442.4116519415579,-54.04768722648203
1418379847.7966764,-441.3800725647074,-52.99783323324375
1418384735.3822093,-440.34849318780664,-52.34063715546638
1418389622.967742,-439.31691381095624,-52.17756790626508
1418394510.5532746,-438.2853344341058,-54.69061494270971
1418399398.1388075,-437.25375505720496,-55.7958644544906
1418404285.7243402,-436.22217568035455,-53.51365292975071
1418409173.3098729,-435.1905963035041,-56.10729377687103
1418414060.8954058,-434.15901692660333,-54.05009118281196
1418418948.4809384,-433.1274375497528,-55.08459902649677
1418423836.066471,-432.0958581729024,-50.37593649564223
1418428723.652004,-431.06427879600164,-51.994384285579486
1418433611.2375367,-430.0326994191512,-50.49712179621666
1418438498.8230693,-429.0011200423008,-51.83958503022974
1418443386.4086022,-427.96954066539996,-55.34105480350735
1418448273.994135,-426.9379612885495,-54.06570838190969
1418453161.5796676,-425.9063819116991,-51.638932421676394
